id	Kode Proses	Finish	Part Name	Part Number	Process Name	Process Description	Cust. Name	Line	CT/PCS	Pcs/Jam	Cavity	
	7010	0	Hook Engine	(11851-52S00-000)	Bending	Bending	SIM	PRESSING 2	7.5567	476.3984279	1	
	7011	0	Bracket (Fuel Filler Neck 2)	(89216-52S00-000)	Bending	"Bending 3, 4"	SIM	PRESSING 2	16	225	1	
	7012	0	HOOK ENGINE	11851-52S00-000	Final Check	Buka Plastik + Check Visual + Marking + Packing	SIM	PRESSING 2	10.5	342.8571429	1	
	7013	FG-ISI-0104	PIPE COMP EXHAUST	14150-25G01	Bender	Bender Roll + Cutting	SIM	WELDING UMUM	29.75206612	121	1	
	7014	FG-ISI-0104	PIPE COMP EXHAUST	14150-25G01	Assy	Assy 	SIM	WELDING UMUM	72	50	1	
	7015	FG-ISI-0104	"PIPE COMP, EXHAUST"	14150-25G01	Check After Assy	Check Visual + Check Insp Jig +  Leak Test + Marking + Packing	SIM	WELDING UMUM	62.3	57.78491172	1	
	7016	FG-ISI-0105	PIPE COMP EXHAUST	14150-25G51	Bender	Bender Roll + Cutting	SIM	WELDING UMUM	80	45	1	
	7017	FG-ISI-0105	PIPE COMP EXHAUST	14150-25G51	Assy	Assy 	SIM	WELDING UMUM	156.5217391	23	1	
	7018	FG-ISI-0105	PIPE COMP EXHAUST	14150-25G51	Check After Assy	Check Kebocoran+Visual+Packing	SIM	WELDING UMUM	171.4285714	21	1	
	7019	FG-YMI-0253	HANDLE COMP	1DY-F6210-00	Assy	Assy Welding	YIMM	HANDLE COMP ASSY	109.0909091	33	1	
	7020	FG-YMI-0253	HANDLE COMP	1DY-F6210-00	Final Check	Cek Total + Balncing	YIMM	HANDLE COMP CHECK	180	20	1	
	7021	FG-YMI-0330	Bar Handle	1PA-F6111-00	Assy	Assy	YIMM	HANDLE COMP ASSY	40.22	89.50770761	1	
	7022	FG-YMI-0324	CROSS TUBE SUB COMP 3	1WD-F141X-00	Assy	Assy 1 ~ 3	YIMM	WELDING ROBOT	72	50	1	
	7023	FG-YMI-0324	CROSS TUBE SUB COMP 3	1WD-F141X-00	Check After Assy	Buang Spatter + Making + Packing	YIMM	WELDING ROBOT	62.06896552	58	1	
