kode_dt,label_dt
TPM,TPM
Problem Qualitas,Problem Qualitas
Toilet,Toilet
5P/5R,5P/5R
P5M,P5M
Persiapan Sarana,Persiapan Sarana
Problem Insp Jig,Problem Insp Jig
Dandory,Dandory
Minum,Minum
Sholat,Sholat
Refill Material,Refill Material
Problem Jig Proses,Problem Jig Proses
Problem Mesin,Problem Mesin
QC Trial,QC Trial
Material Habis,Material Habis
Operator Izin,Operator Izin
Tidak Ada Planning,Tidak Ada Planning
Teaching,Teaching
Perawatan,Perawatan
OJT,OJT
Tunggu Material,Tunggu Material
ENG Trial,ENG Trial
Nozzle/Contact Tip,Nozzle/Contact Tip
Wire Las Macet,Wire Las Macet
Tambahan Proses,Tambahan Proses
